,junction_id,junction_type,x,y,z,isRoundabout,trafficlight_count,avg_lane_speed,lane_speeds_std_deviation,avg_lane_length,lane_length_standard_deviation,edge_types,edge_prioities,number_of_lanes,intl_avg_lane_speed,intl_lane_speeds_std_deviation,intl_avg_lane_length,intl_lane_length_standard_deviation,intl_edge_types,intl_edge_prioities,intl_number_of_lanes,clusters_maxabs_3dimensions,clusters_robust_3dimensions,clusters_combined_3dimensions,clusters_combined_robust_3dimensions
893,7787916,traffic_light,3631.29,31680.92,,False,"[16, '7787916', [['-22914586#1', '91616142#0', '7787916', 'r', 'o'], ['-22914586#1', '-154558598', '7787916', 's', 'o'], ['-22914586#1', '-154558598', '7787916', 's', 'o'], ['-22914586#1', '-154558601', '7787916', 'l', 'o'], ['-22914586#1', '22914586#0', '7787916', 't', 'o'], ['-91616142#1', '-154558598', '7787916', 'r', 'o'], ['-91616142#1', '-154558601', '7787916', 's', 'o'], ['-91616142#1', '22914586#0', '7787916', 'l', 'o'], ['-91616142#1', '91616142#0', '7787916', 't', 'o'], ['154558598', '22914586#0', '7787916', 's', 'o'], ['154558598', '22914586#0', '7787916', 's', 'o'], ['154558598', '91616142#0', '7787916', 'l', 'o'], ['154558598', '-154558598', '7787916', 't', 'o'], ['154558601', '91616142#0', '7787916', 's', 'o'], ['154558601', '-154558598', '7787916', 'l', 'o'], ['154558601', '-154558601', '7787916', 't', 'o']]]",19.44,0.0,24.36,1.81998626368,"['highway.secondary', 'highway.secondary', 'highway.secondary', 'highway.secondary', 'highway.secondary', 'highway.secondary', 'highway.secondary', 'highway.secondary']",7.0,8,0,0,0,0,,0,0,4,1,3,0
894,779702420,traffic_light,4345.74,13281.78,,False,"[8, '779702420', [['-8090636#3', '-8090636#0', '779702420', 's', 'o'], ['-8090636#3', '-8090636#0', '779702420', 's', 'o'], ['-8090636#3', '8090636#1', '779702420', 't', 'o'], ['328383605', '8090636#1', '779702420', 's', 'o'], ['328383605', '8090636#1', '779702420', 's', 'o'], ['328383605', '-8090636#0', '779702420', 't', 'o'], ['8090638#0', '8090636#1', '779702420', 'r', 'o'], ['8090638#0', '-8090636#0', '779702420', 'l', 'o']]]",14.446,1.112,431.14,96.8094598683,"['highway.primary', 'highway.primary', 'highway.motorway_link', 'highway.primary', 'highway.primary']",9.6,5,0,0,0,0,,0,0,6,2,1,0
895,78577913,traffic_light,13525.09,14450.73,,False,"[4, 'GS_78577913', [['-9831193#3', '33814452#0', 'GS_78577913', 'r', 'o'], ['-9831193#3', '9831193#0', 'GS_78577913', 't', 'o'], ['135788128#1', '9831193#0', 'GS_78577913', 'r', 'o'], ['135788128#1', '33814452#0', 'GS_78577913', 's', 'o']]]",11.11,2.78,137.4,15.47,"['highway.residential', 'highway.secondary']",5.5,2,0,0,0,0,,0,0,1,0,0,0
896,79740957,traffic_light,16055.49,15146.45,,False,"[9, 'GS_79740957', [['-122528352#6', '-122528352#1', 'GS_79740957', 's', 'o'], ['-122528352#6', '-81978125#2', 'GS_79740957', 'l', 'o'], ['-122528352#6', '122528352#2', 'GS_79740957', 't', 'o'], ['122528352#0', '-81978125#2', 'GS_79740957', 'r', 'o'], ['122528352#0', '122528352#2', 'GS_79740957', 's', 'o'], ['122528352#0', '-122528352#1', 'GS_79740957', 't', 'o'], ['81978125#0', '122528352#2', 'GS_79740957', 'r', 'o'], ['81978125#0', '-122528352#1', 'GS_79740957', 'l', 'o'], ['81978125#0', '-81978125#2', 'GS_79740957', 't', 'o']]]",13.89,0.0,181.99,79.92764895,"['highway.unclassified', 'highway.residential', 'highway.unclassified']",4.66666666667,3,0,0,0,0,,0,0,5,3,1,0
897,81694772,traffic_light,24753.21,1797.62,,False,"[16, '81694772', [['-12703236#1', '42555150', '81694772', 'r', 'o'], ['-12703236#1', '-229784419#1', '81694772', 's', 'o'], ['-12703236#1', '-96816919#9', '81694772', 'l', 'o'], ['-12703236#1', '12703236#0', '81694772', 't', 'o'], ['-229784415#0', '-229784419#1', '81694772', 'r', 'o'], ['-229784415#0', '-96816919#9', '81694772', 's', 'o'], ['-229784415#0', '12703236#0', '81694772', 'l', 'o'], ['-229784415#0', '42555150', '81694772', 't', 'o'], ['29425761', '-96816919#9', '81694772', 'r', 'o'], ['29425761', '12703236#0', '81694772', 's', 'o'], ['29425761', '42555150', '81694772', 'l', 'o'], ['29425761', '-229784419#1', '81694772', 't', 'o'], ['96816919#7', '12703236#0', '81694772', 'r', 'o'], ['96816919#7', '42555150', '81694772', 's', 'o'], ['96816919#7', '-229784419#1', '81694772', 'l', 'o'], ['96816919#7', '-96816919#9', '81694772', 't', 'o']]]",12.5,2.40755062252,169.4175,51.0725627784,"['highway.residential', 'highway.primary', 'highway.tertiary', 'highway.primary']",7.0,4,0,0,0,0,,0,0,12,0,6,0
898,81696509,traffic_light,25061.36,1476.67,,False,"[6, '81696509', [['-96816919#4', '-96816919#3', '81696509', 's', 'o'], ['-96816919#4', '96816919#4', '81696509', 't', 'o'], ['96816919#3', '96816919#4', '81696509', 's', 'o'], ['96816919#3', '-96816919#3', '81696509', 't', 'o'], ['98490086', '-96816919#3', '81696509', 'r', 'o'], ['98490086', '96816919#4', '81696509', 'l', 'o']]]",12.0366666667,2.6210091356,63.4733333333,13.1926048308,"['highway.primary', 'highway.residential', 'highway.primary']",7.33333333333,3,0,0,0,0,,0,0,3,0,2,0
899,823015645,traffic_light,20244.92,14339.01,,False,"[11, 'GS_823015645', [['-145671610#3', '68363492#0', 'GS_823015645', 'r', 'o'], ['-145671610#3', '-145671610#1', 'GS_823015645', 's', 'o'], ['-145671610#3', '-145671610#1', 'GS_823015645', 's', 'o'], ['-145671610#3', '145671610#2', 'GS_823015645', 't', 'o'], ['-68363492#1', '-145671610#1', 'GS_823015645', 'r', 'o'], ['-68363492#1', '145671610#2', 'GS_823015645', 'l', 'o'], ['-68363492#1', '68363492#0', 'GS_823015645', 't', 'o'], ['145671610#0', '145671610#2', 'GS_823015645', 's', 'o'], ['145671610#0', '145671610#2', 'GS_823015645', 's', 'o'], ['145671610#0', '68363492#0', 'GS_823015645', 'l', 'o'], ['145671610#0', '-145671610#1', 'GS_823015645', 't', 'o']]]",13.89,0.0,74.11,23.4663674223,"['highway.primary', 'highway.primary', 'highway.residential', 'highway.primary', 'highway.primary']",8.0,5,0,0,0,0,,0,0,3,3,11,0
900,82666613,traffic_light,18325.84,31806.75,,False,"[9, '82666613', [['-56313848', '-344127740#3', '82666613', 'r', 'o'], ['-56313848', '-298386883#2', '82666613', 's', 'o'], ['-56313848', '284428663', '82666613', 't', 'o'], ['298386883#0', '284428663', '82666613', 's', 'o'], ['298386883#0', '-344127740#3', '82666613', 'l', 'o'], ['298386883#0', '-298386883#2', '82666613', 't', 'o'], ['344127740#0', '-298386883#2', '82666613', 'r', 'o'], ['344127740#0', '284428663', '82666613', 'l', 'o'], ['344127740#0', '-344127740#3', '82666613', 't', 'o']]]",15.28,1.39,270.425,66.6565857586,"['highway.secondary', 'highway.secondary', 'highway.secondary', 'highway.secondary']",7.0,4,0,0,0,0,,0,0,4,0,0,0
901,82668631,traffic_light,17928.93,32433.7,,False,"[6, '82668631', [['-10059871#0', '10153899', '82668631', 's', 'o'], ['-10059871#0', '10059871#0', '82668631', 't', 'o'], ['-106518442#1', '10059871#0', '82668631', 's', 'o'], ['-106518442#1', '10153899', '82668631', 't', 'o'], ['24485723', '10153899', '82668631', 'r', 'o'], ['24485723', '10059871#0', '82668631', 'l', 'o']]]",13.89,0.0,155.383333333,66.9828342853,"['highway.residential', 'highway.tertiary', 'highway.tertiary']",5.33333333333,3,0,0,0,0,,0,0,8,3,4,0
902,828990231,traffic_light,19187.3,14140.5,,False,"[3, 'GS_828990231', [['69091662#0', '85417940#2', 'GS_828990231', 's', 'o'], ['85417940#0', '85417940#2', 'GS_828990231', 's', 'o'], ['85417940#0', '85417940#2', 'GS_828990231', 's', 'o']]]",13.89,0.0,21.7733333333,6.92021836521,"['highway.primary_link', 'highway.primary', 'highway.primary']",8.66666666667,3,0,0,0,0,,0,0,6,3,4,0
