Successrate; Neg_Rewards; LearninRate; Discount; Exploration;;;;;;;
0,972;-1112,5;0,14;0,23;;;;;;;;
0,949;-1227;0,15;0,23;;;;;;;;
0,95;-1196;0,16;0,23;;;;;;;;
0,965;-1152;0,17;0,23;;;;;;;;
0,968;-1102,5;0,18;0,23;;;;;;;;
0,978;-1181,5;0,19;0,23;;;;;;;;
0,965;-1102,5;0,2;0,23;;;;;;;;
0,975;-1158,5;0,21;0,23;;;;;;;;
0,977;-1108;0,22;0,23;;;;;;;;
0,937;-1132;0,23;0,23;;;;;;;;
0,975;-1205;0,24;0,23;;;;;;;;
0,975;-1114;0,25;0,23;;;;;;;;
0,97;-1038,5;0,26;0,23;;;;;;;;
0,964;-1065,5;0,27;0,23;;;;;;;;
0,96;-1096;0,28;0,23;;;;;;;;
0,973;-1177,5;0,08;0,24;;;;;;;;
0,96;-1192,5;0,09;0,24;;;;;;;;
0,969;-1179;0,1;0,24;;;;;;;;
0,963;-1190,5;0,11;0,24;;;;;;;;
0,967;-1258;0,12;0,24;;;;;;;;
0,956;-1220,5;0,13;0,24;;;;;;;;
0,965;-1239;0,14;0,24;;;;;;;;
0,977;-1181,5;0,15;0,24;;;;;;;;
0,963;-1068;0,16;0,24;;;;;;;;
0,967;-1185,5;0,17;0,24;;;;;;;;
0,967;-1014;0,18;0,24;;;;;;;;
0,978;-1086,5;0,19;0,24;;;;;;;;
0,973;-1235,5;0,2;0,24;;;;;;;;
0,96;-1168;0,21;0,24;;;;;;;;
0,974;-1123;0,22;0,24;;;;;;;;
0,972;-1209;0,23;0,24;;;;;;;;
0,954;-1141;0,24;0,24;;;;;;;;
0,967;-1149,5;0,25;0,24;;;;;;;;
0,961;-1111;0,26;0,24;;;;;;;;
0,973;-1109,5;0,27;0,24;;;;;;;;
0,966;-1110,5;0,28;0,24;;;;;;;;
0,968;-1239;0,08;0,25;;;;;;;;
0,968;-1168,5;0,09;0,25;;;;;;;;
0,958;-1170,5;0,1;0,25;;;;;;;;
0,964;-1218;0,11;0,25;;;;;;;;
0,958;-1189;0,12;0,25;;;;;;;;
0,953;-1281;0,13;0,25;;;;;;;;
0,963;-1141,5;0,14;0,25;;;;;;;;
0,971;-1151,5;0,15;0,25;;;;;;;;
0,957;-1155;0,16;0,25;;;;;;;;
0,964;-1140,5;0,17;0,25;;;;;;;;
0,97;-1255;0,18;0,25;;;;;;;;
0,967;-1156;0,19;0,25;;;;;;;;
0,969;-1209;0,2;0,25;;;;;;;;
0,98;-1175;0,21;0,25;;;;;;;;
0,96;-1106,5;0,22;0,25;;;;;;;;
0,972;-1145,5;0,23;0,25;;;;;;;;
0,971;-1138,5;0,24;0,25;;;;;;;;
0,972;-1168,5;0,25;0,25;;;;;;;;
0,965;-1190;0,26;0,25;;;;;;;;
0,968;-1159;0,27;0,25;;;;;;;;
0,962;-1066,5;0,28;0,25;;;;;;;;
0,961;-1243,5;0,08;0,26;;;;;;;;
0,958;-1289;0,09;0,26;;;;;;;;
0,961;-1139;0,1;0,26;;;;;;;;
0,966;-1168;0,11;0,26;;;;;;;;
0,964;-1185,5;0,12;0,26;;;;;;;;
0,97;-1130;0,13;0,26;;;;;;;;
0,964;-1158;0,14;0,26;;;;;;;;
0,966;-1075;0,15;0,26;;;;;;;;
0,972;-1138;0,16;0,26;;;;;;;;
0,961;-1064,5;0,17;0,26;;;;;;;;
0,965;-1158,5;0,18;0,26;;;;;;;;
0,969;-1181,5;0,19;0,26;;;;;;;;
0,971;-1173,5;0,2;0,26;;;;;;;;
0,974;-1126,5;0,21;0,26;;;;;;;;
0,973;-1099;0,22;0,26;;;;;;;;
0,964;-1082,5;0,23;0,26;;;;;;;;
0,969;-1036,5;0,24;0,26;;;;;;;;
0,967;-1193,5;0,25;0,26;;;;;;;;
0,957;-1189;0,26;0,26;;;;;;;;
0,943;-1147;0,27;0,26;;;;;;;;
0,963;-1033;0,28;0,26;;;;;;;;
0,97;-1153;0,08;0,27;;;;;;;;
0,956;-1246,5;0,09;0,27;;;;;;;;
0,954;-1220,5;0,1;0,27;;;;;;;;
0,973;-1197,5;0,11;0,27;;;;;;;;
0,966;-1168;0,12;0,27;;;;;;;;
0,963;-1114,5;0,13;0,27;;;;;;;;
0,965;-1219;0,14;0,27;;;;;;;;
0,962;-1137,5;0,15;0,27;;;;;;;;
