,junction_id,junction_type,x,y,z,isRoundabout,connections,avg_lane_speed,lane_speeds_std_deviation,avg_lane_length,lane_length_standard_deviation,edge_types,edge_prioities,number_of_lanes,intl_connections,intl_avg_lane_speed,intl_lane_speeds_std_deviation,intl_avg_lane_length,intl_lane_length_standard_deviation,intl_edge_types,intl_edge_prioities,intl_number_of_lanes,clusters_maxabs_3dimensions,clusters_robust_3dimensions,clusters_combined_3dimensions,clusters_combined_robust_3dimensions
27,1328385544,traffic_light,10945.69,24013.99,,False,"[[['119446096#0', '165765860#0', 'GS_1328385544', 's', 'o']], [['315381625#0', '215566794#0', 'GS_cluster_2250316406_2250316408_2250316412_2250316414', 's', 'o'], ['215566794#0', '165765860#0', 'GS_1328385544', 's', 'o']], [['315381625#0', '215566794#0', 'GS_cluster_2250316406_2250316408_2250316412_2250316414', 's', 'o'], ['215566794#0', '165765860#0', 'GS_1328385544', 's', 'o']]]",13.89,0.0,31.6133333333,2.18260293126,"['highway.primary_link', 'highway.primary', 'highway.primary']",8.66666666667,3,,0,0,0,0,,0,0,5,2,8,0
28,1328385548,traffic_light,10962.02,24060.5,,False,"[[['118025493#0', '215566799#2', 'GS_1328385548', 's', 'o']], [['315381625#0', '215566799#0', 'GS_cluster_2250316406_2250316408_2250316412_2250316414', 'r', 'o'], ['215566799#0', '215566799#2', 'GS_1328385548', 's', 'o']]]",16.665,2.775,34.805,1.015,"['highway.primary_link', 'highway.primary']",8.5,2,,0,0,0,0,,0,0,5,3,8,0
29,1333766911,traffic_light,26257.5,15252.18,,False,"[[['135013200#0', '135013194#2', 'GS_1333766911', 's', 'o']], [['135013194#0', '135013194#2', 'GS_1333766911', 's', 'o']]]",15.28,1.39,42.225,17.255,"['highway.primary_link', 'highway.unclassified']",6.5,2,,0,0,0,0,,0,0,1,7,2,0
30,1337788722,traffic_light,17330.31,26941.28,,False,"[[['175815740', '304464994', 'GS_1337788722', 's', 'o']]]",13.89,0.0,34.15,0.0,['highway.trunk_link'],10.0,1,,0,0,0,0,,0,0,1,2,11,0
31,1352605,traffic_light,12803.41,13326.38,,False,"[[['4391134#1', '37331980#0', '1352605', 's', 'o']], [['4391134#1', '37331980#0', '1352605', 's', 'o']]]",13.89,0.0,52.2,0.0,"['highway.primary', 'highway.primary']",9.0,2,,0,0,0,0,,0,0,5,2,14,0
32,1352608,traffic_light,13107.02,13765.48,,False,"[[['-8225101', '27598888#0', '1352608', 't', 'o']], [['154755102#0', '-154755102#3', '1352608', 't', 'o']], [['8096211#0', '-8096211#2', '1352608', 't', 'o']]]",13.89,0.0,88.0133333333,39.1264959955,"['highway.residential', 'highway.residential', 'highway.residential']",4.0,3,,0,0,0,0,,0,0,0,2,11,0
33,1354864,traffic_light,12935.12,13849.69,,False,"[[['129861628#0', '129833340#2', 'GS_1354864', 'r', 'o']], [['50629722', '129833340#2', 'GS_1354864', 's', 'o']], [['50629722', '129833340#2', 'GS_1354864', 's', 'o']]]",13.89,0.0,116.993333333,6.9107902748,"['highway.residential', 'highway.secondary', 'highway.secondary']",6.0,3,,0,0,0,0,,0,0,2,2,7,0
34,1363623463,traffic_light,14085.74,12275.92,,False,"[[['-154511599#3', '154511599#0', 'GS_1363623463', 't', 'o']], [['23013699#3', '35029563', 'GS_1363623463', 'l', 'o']]]",13.89,0.0,118.425,21.645,"['highway.residential', 'highway.residential']",4.0,2,,0,0,0,0,,0,0,0,2,1,0
35,136984067,traffic_light,20084.76,20982.61,,False,"[[['-287871260', '287871260', '136984067', 't', 'o']], [['-287871260', '287871260', '136984067', 't', 'o']], [['-8437626#4', '8437626#0', '136984067', 't', 'o']], [['-8437626#4', '8437626#0', '136984067', 't', 'o']], [['244391956#2', '244391956#3', '259640407', 's', 'o'], ['244391956#3', '-244391956#3', '136984067', 't', 'o']], [['244391956#2', '244391956#3', '259640407', 's', 'o'], ['244391956#3', '-244391956#3', '136984067', 't', 'o']]]",13.89,0.0,127.426666667,73.1789570543,"['highway.secondary', 'highway.secondary', 'highway.secondary', 'highway.secondary', 'highway.secondary', 'highway.secondary']",7.0,6,,0,0,0,0,,0,0,3,1,3,0
36,1374936578,traffic_light,18007.34,15594.85,,False,"[[['48995678#0', '205988341#2', 'GS_1374936578', 's', 'o']], [['48995679#0', '205988341#0', 'cluster_2545148972_2545148979_621857602_621865067', 'r', 'o'], ['205988341#0', '205988341#2', 'GS_1374936578', 's', 'o']], [['48995679#0', '205988341#0', 'cluster_2545148972_2545148979_621857602_621865067', 'r', 'o'], ['205988341#0', '205988341#2', 'GS_1374936578', 's', 'o']]]",13.89,0.0,30.3933333333,0.273414622059,"['highway.unclassified', 'highway.primary', 'highway.primary']",7.66666666667,3,,0,0,0,0,,0,0,5,2,1,0
37,1383976424,traffic_light,8355.19,14182.82,,False,"[[['99716478#2', '244696428#0', '1383976424', 'l', 'o']], [['99716478#2', '244696428#0', '1383976424', 'l', 'o']]]",13.89,0.0,452.38,0.0,"['highway.primary', 'highway.primary']",9.0,2,,0,0,0,0,,0,0,5,1,11,0
38,1406200,traffic_light,13674.12,14398.31,,False,"[[['51348111#0', '252773097#0', 'GS_1406200', 's', 'o']], [['51348105#0', '159281728#0', 'cluster_1490637117_655244845_655244867_655244884_655244906_655244957_655244982_655245030_655245047_655245114_655245122_655245138_655245326_655245405_655245407_655245408', 'l', 'o'], ['159281728#0', '252773097#0', 'GS_1406200', 's', 'o']], [['51348105#0', '159281728#0', 'cluster_1490637117_655244845_655244867_655244884_655244906_655244957_655244982_655245030_655245047_655245114_655245122_655245138_655245326_655245405_655245407_655245408', 'l', 'o'], ['159281728#0', '252773097#0', 'GS_1406200', 's', 'o']]]",13.89,0.0,37.5766666667,2.90385184807,"['highway.secondary_link', 'highway.secondary_link', 'highway.secondary_link']",6.0,3,,0,0,0,0,,0,0,1,2,7,0
39,1410840899,traffic_light,16813.34,6419.86,,False,"[[['61733075#0', '61733075#2', 'GS_1410840899', 's', 'o']], [['61733075#0', '61733075#2', 'GS_1410840899', 's', 'o']]]",13.89,0.0,37.16,0.0,"['highway.secondary', 'highway.secondary']",7.0,2,,0,0,0,0,,0,0,3,2,8,0
40,1423308413,traffic_light,17085.4,6964.28,,False,"[[['-128916120#2', '128916120#0', 'GS_1423308413', 't', 'o']]]",13.89,0.0,209.56,0.0,['highway.tertiary'],6.0,1,,0,0,0,0,,0,0,7,2,5,0
41,1423308432,traffic_light,17084.32,6946.85,,False,"[[['99295049#4', '-99295049#5', 'GS_1423308432', 't', 'o']], [['-128916120#2', '128916121#5', 'GS_1423308413', 'r', 'o'], ['128916121#5', '-99295049#5', 'GS_1423308432', 'r', 'o']]]",13.89,0.0,41.195,17.915,"['highway.tertiary', 'highway.tertiary']",6.0,2,,0,0,0,0,,0,0,7,2,7,0
42,1431777747,traffic_light,12693.1,13920.47,,False,"[[['129833348#0', '150039002#2', 'GS_1431777747', 'r', 'o']], [['145474196#0', '150039002#0', 'GS_26721461', 's', 'o'], ['150039002#0', '150039002#2', 'GS_1431777747', 's', 'o']], [['145474196#0', '150039002#0', 'GS_26721461', 's', 'o'], ['150039002#0', '150039002#2', 'GS_1431777747', 's', 'o']]]",13.89,0.0,28.0633333333,21.9391663976,"['highway.secondary', 'highway.primary', 'highway.primary']",8.33333333333,3,,0,0,0,0,,0,0,8,2,5,0
